Date,Open,High,Low,Close
08/03/2022,93.83,96.57,90.38,90.66
08/02/2022,93.75,96.47,92.59,94.42
08/01/2022,98.46,98.65,92.42,93.89
07/29/2022,97.3,101.88,96.41,98.62
07/28/2022,98.17,99.84,96.04,96.42
07/27/2022,95.6,98.59,94.3,97.26
07/26/2022,96.33,99,94.76,94.98
07/25/2022,95.1,96.94,93.01,96.7
07/22/2022,96.51,97.95,94.23,94.7
07/21/2022,99.91,99.99,94.59,96.35
07/20/2022,103.6,104.39,101.51,102.26
07/19/2022,102,104.46,99.84,104.22
07/18/2022,97.27,102.8,95.85,102.6
07/15/2022,96.39,99.03,94.57,97.59
07/14/2022,96.57,97,90.56,95.78
07/13/2022,95.89,97.96,93.58,96.3
07/12/2022,103.46,103.49,95.35,95.84
07/11/2022,104.79,105.05,100.89,104.09
07/08/2022,102.22,105.24,101.51,104.79
07/07/2022,98.22,104.48,96.57,102.73
07/06/2022,100.36,102.14,95.1,98.53
07/05/2022,110.75,111.45,97.43,99.5
07/01/2022,106.01,109.34,104.56,108.43
06/30/2022,109.7,110.45,105.1,105.76
06/29/2022,111.86,114.05,109.22,109.78
06/28/2022,110.18,112.22,109.62,111.76
06/27/2022,107.22,110.54,105.6,109.57
06/24/2022,103.99,108.58,103.64,107.62
06/23/2022,104.42,107.05,102.32,104.27
06/22/2022,109.54,109.76,101.53,106.19
06/21/2022,110.54,112.47,110.13,110.65
06/17/2022,117.08,118.97,108.25,109.56
06/16/2022,115.98,118.08,112.31,117.59
06/15/2022,119.07,119.61,114.6,115.31
06/14/2022,121.09,123.68,116.62,118.93
06/13/2022,120.19,122.25,117.47,120.93
06/10/2022,121.46,122.75,118.33,120.67
06/09/2022,122.43,122.72,120.79,121.51
06/08/2022,119.79,123.18,119.3,122.11
06/07/2022,119.1,120.36,117.14,119.41
06/06/2022,120.82,121,117.63,118.5
06/03/2022,117.55,120.46,115.23,118.87
06/02/2022,114.8,117.77,111.2,116.87
06/01/2022,115.4,117.87,114.58,115.26
05/31/2022,117.56,119.98,114.15,114.67
05/27/2022,114.2,115.3,112.85,115.07
05/26/2022,110.69,114.83,110.27,114.09
05/25/2022,110.39,111.68,109.23,110.33
05/24/2022,110.41,111.43,108.61,109.77
05/23/2022,110.56,111.96,109.15,110.29
05/20/2022,111.45,114.04,110.85,113.23
05/19/2022,109.09,112.62,105.13,112.21
05/18/2022,113.66,115.42,108.46,109.59
05/17/2022,113.87,115.56,111.75,112.4
05/16/2022,110.98,114.9,108.11,114.2
05/13/2022,106.65,110.64,106.29,110.49
05/12/2022,105.63,107.37,102.66,106.13
05/11/2022,99,106.44,98.2,105.71
05/10/2022,102.65,104.16,98.86,99.76
05/09/2022,110.43,110.49,102.13,103.09
05/06/2022,108.7,111.18,107.24,109.77
05/05/2022,107.58,111.37,106.45,108.26
05/04/2022,103.5,108.61,102.95,107.81
05/03/2022,105.08,105.8,102.1,102.41
05/02/2022,104,105.94,100.28,105.17
04/29/2022,105.17,107.99,103.78,104.69
04/28/2022,102.11,105.68,100.13,105.36
04/27/2022,101.76,102.99,99.8,102.02
04/26/2022,98.64,102.78,97.06,101.7
04/25/2022,101.38,101.55,95.28,98.54
04/22/2022,104.07,104.22,101.06,102.07
