Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,0.010976,0.010976,0.010963,0.010974,0.010974,0
2021-03-18,0.010965,0.010980,0.010953,0.010966,0.010966,0
2021-03-19,0.010956,0.010975,0.010942,0.010957,0.010957,0
2021-03-22,0.010956,0.010970,0.010920,0.010955,0.010955,0
2021-03-23,0.010922,0.010964,0.010911,0.010923,0.010923,0
2021-03-24,0.010924,0.010937,0.010898,0.010924,0.010924,0
2021-03-25,0.010937,0.010939,0.010894,0.010935,0.010935,0
2021-03-26,0.010906,0.010924,0.010886,0.010906,0.010906,0
2021-03-29,0.010879,0.010926,0.010860,0.010878,0.010878,0
2021-03-30,0.010881,0.010896,0.010873,0.010882,0.010882,0
2021-03-31,0.010876,0.010887,0.010870,0.010876,0.010876,0
2021-04-01,0.010872,0.010895,0.010866,0.010872,0.010872,0
2021-04-02,0.010911,0.010926,0.010895,0.010911,0.010911,0
2021-04-05,0.010906,0.010951,0.010881,0.010908,0.010908,0
2021-04-06,0.010955,0.010958,0.010833,0.010954,0.010954,0
2021-04-07,0.010837,0.010924,0.010828,0.010836,0.010836,0
2021-04-08,0.010841,0.010844,0.010821,0.010841,0.010841,0
2021-04-09,0.010834,0.010901,0.010817,0.010834,0.010834,0
2021-04-12,0.010848,0.010858,0.010798,0.010850,0.010850,0
2021-04-13,0.010802,0.010813,0.010794,0.010802,0.010802,0
2021-04-14,0.010796,0.010804,0.010788,0.010797,0.010797,0
2021-04-15,0.010790,0.010802,0.010782,0.010791,0.010791,0
2021-04-16,0.010785,0.010795,0.010777,0.010785,0.010785,0
2021-04-19,0.010769,0.010835,0.010739,0.010768,0.010768,0
2021-04-20,0.010760,0.010772,0.010749,0.010760,0.010760,0
2021-04-21,0.010755,0.010766,0.010747,0.010755,0.010755,0
2021-04-22,0.010759,0.010768,0.010743,0.010759,0.010759,0
2021-04-23,0.010745,0.010755,0.010738,0.010744,0.010744,0
2021-04-26,0.010730,0.010805,0.010719,0.010730,0.010730,0
2021-04-27,0.010721,0.010736,0.010712,0.010720,0.010720,0
2021-04-28,0.010714,0.010725,0.010703,0.010714,0.010714,0
2021-04-29,0.010704,0.010788,0.010691,0.010704,0.010704,0
2021-04-30,0.010697,0.010710,0.010683,0.010698,0.010698,0
2021-05-03,0.010648,0.010722,0.010642,0.010649,0.010649,0
2021-05-04,0.010677,0.010705,0.010668,0.010676,0.010676,0
2021-05-05,0.010673,0.010723,0.010665,0.010673,0.010673,0
2021-05-06,0.010677,0.010722,0.010660,0.010676,0.010676,0
2021-05-07,0.010662,0.010722,0.010656,0.010663,0.010663,0
2021-05-10,0.010755,0.010756,0.010641,0.010757,0.010757,0
2021-05-11,0.010657,0.010723,0.010642,0.010656,0.010656,0
2021-05-12,0.010650,0.010664,0.010633,0.010650,0.010650,0
2021-05-13,0.010641,0.010651,0.010621,0.010640,0.010640,0
2021-05-14,0.010637,0.010655,0.010632,0.010638,0.010638,0
2021-05-17,0.010648,0.010666,0.010622,0.010650,0.010650,0
2021-05-18,0.010632,0.010640,0.010619,0.010633,0.010633,0
2021-05-19,0.010630,0.010632,0.010614,0.010630,0.010630,0
2021-05-20,0.010615,0.010626,0.010609,0.010615,0.010615,0
2021-05-21,0.010611,0.010621,0.010606,0.010611,0.010611,0
2021-05-24,0.010617,0.010621,0.010580,0.010616,0.010616,0
2021-05-25,0.010615,0.010629,0.010607,0.010616,0.010616,0
2021-05-26,0.010614,0.010622,0.010583,0.010615,0.010615,0
2021-05-27,0.010585,0.010587,0.010578,0.010585,0.010585,0
2021-05-28,0.010588,0.010591,0.010572,0.010589,0.010589,0
2021-05-31,0.010573,0.010618,0.010560,0.010574,0.010574,0
2021-06-01,0.010571,0.010616,0.010554,0.010570,0.010570,0
2021-06-02,0.010567,0.010569,0.010550,0.010567,0.010567,0
2021-06-03,0.010550,0.010606,0.010546,0.010550,0.010550,0
2021-06-04,0.010557,0.010562,0.010508,0.010558,0.010558,0
2021-06-07,0.010550,0.010617,0.010528,0.010551,0.010551,0
2021-06-08,0.010538,0.010542,0.010523,0.010536,0.010536,0
2021-06-09,0.010533,0.010537,0.010519,0.010535,0.010535,0
2021-06-10,0.010521,0.010524,0.010513,0.010521,0.010521,0
2021-06-11,0.010517,0.010536,0.010510,0.010517,0.010517,0
2021-06-14,0.010513,0.010522,0.010474,0.010514,0.010514,0
2021-06-15,0.010498,0.010518,0.010494,0.010497,0.010497,0
2021-06-16,0.010506,0.010511,0.010490,0.010505,0.010505,0
2021-06-17,0.010492,0.010503,0.010486,0.010492,0.010492,0
2021-06-18,0.010486,0.010499,0.010481,0.010486,0.010486,0
2021-06-21,0.010489,0.010497,0.010435,0.010492,0.010492,0
